url	download_complete
emj.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Femj.ics.uci.edu%2Fpapers%2Fmachine-learning-papers%2F	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fpersonal%2F	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fcarrot-works-in-research%2F	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Findian-ceos-pride-of-nagpur%2F	complete
ngs.ics.uci.edu/ho-chi-minh-city	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fcreating-persona-using-data-streams%2F&format=xml	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fbasic-research-in-singapore%2F&format=xml	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fsocial-life-networks-sln%2F	complete
wics.ics.uci.edu/fall-quarter-2016-week-6-facebook-diversity-panel?share=twitter	complete
ngs.ics.uci.edu/entrepreneurship/current-companies	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2014%2F09%2Ffall-2014%2F	complete
ngs.ics.uci.edu/tag/cyber	complete
wics.ics.uci.edu/fall-quarter-2017-week-5-wics-mentorship-reveal?share=google-plus-1	complete
ngs.ics.uci.edu?p=1293	complete
wics.ics.uci.edu/first-android-app-development-meeting	complete
ngs.ics.uci.edu?p=1297	complete
wics.ics.uci.edu/xmlrpc.php?rsd	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Frehabilitation-from-knee-surgery%2F&format=xml	complete
ngs.ics.uci.edu?p=1299	complete
ngs.ics.uci.edu/geotagging	complete
ngs.ics.uci.edu/economic-gains-are-limited-in-india/feed	complete
wics.ics.uci.edu/event/week-3-swe-industry-networking-night/feed	complete
cml.ics.uci.edu/2007/01/2007_jainbestpaper	complete
www.ics.uci.edu/computing/account/faqs.php	complete
cloudberry.ics.uci.edu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fcloudberry.ics.uci.edu%2Fcloudberry-at-acm-sigspatial-2016%2F	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fwics-spring-quarter-week-7-women-in-tech-panel-with-sendgrid%2F	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fmobile-money-or-power-of-mobile-phones-to-transform%2F	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fgood-friends%2F&format=xml	complete
matt-smith-v2.ics.uci.edu/dutran/wordpress/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmatt-smith-v2.ics.uci.edu%2Fdutran%2Fwordpress%2Fprof-li-give-talks-about-cloudberry-at-salesforce-and-huawei%2F&format=xml	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2008%2F09%2F2008_newmanimls%2F&format=xml	complete
wics.ics.uci.edu/wics-week-0-meet-and-greet?afg4_page_id=3	complete
wics.ics.uci.edu/wics-week-0-meet-and-greet?afg4_page_id=2	complete
wics.ics.uci.edu/wics-week-0-meet-and-greet?afg4_page_id=1	complete
wics.ics.uci.edu/event/week-2-broadcom-info-session-wics-ieee-hkn-and-icssc/feed	complete
emj.ics.uci.edu?p=77	complete
matt-smith-v2.ics.uci.edu/dutran/wordpress/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmatt-smith-v2.ics.uci.edu%2Fdutran%2Fwordpress%2Fjianfeng-has-successfully-defended-his-ph-d-thesis%2F&format=xml	complete
wics.ics.uci.edu/wics-spring-quarter-week-7-women-in-tech-panel-with-sendgrid	complete
ngs.ics.uci.edu/contextual-circles/feed	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2013%2F08%2F2013_anima%2F	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fevent%2Ffirst-general-wics-meeting%2F	complete
ngs.ics.uci.edu/blog?attachment_id=1479	complete
ngs.ics.uci.edu/dave-lehman/feed	complete
ngs.ics.uci.edu/senseweb/feed	complete
wics.ics.uci.edu/fall-quarter-2016-week-6-facebook-diversity-panel	complete
wics.ics.uci.edu/aspireit-2017?share=google-plus-1	complete
cml.ics.uci.edu/2014/03/spring-2014	complete
cloudberry.ics.uci.edu/hello-world	complete
wics.ics.uci.edu/studying-with-wics-2?share=facebook	complete
www.ics.uci.edu/%7Emagda/Courses/ics167/quizsol.html	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fgeotagging%2F	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fcav-indexing%2F&format=xml	complete
www.ics.uci.edu/~chenli/sigmod07ugrad	complete
cml.ics.uci.edu/books	complete
www.ics.uci.edu/grad/courses/details.php?id=100	incomplete
wics.ics.uci.edu/winter-quarter-2017-week-4-crime-and-mystery-game-night	complete
ngs.ics.uci.edu/words-atoms-of-semantics/feed	complete
chime.ics.uci.edu	complete
cloudberry.ics.uci.edu/wp-comments-post.php	complete
cml.ics.uci.edu?p=71	complete
wics.ics.uci.edu/event/week-4-movie-night/feed	complete
www.ics.uci.edu/~dgillen	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fevent%2Fwebsites-due%2F&format=xml	complete
wics.ics.uci.edu/wics-hosts-a-toy-hacking-workshop-with-dr-garnet-hertz?share=facebook	complete
cml.ics.uci.edu/2008/10/2008_vision/feed	complete
wics.ics.uci.edu/exploreics?afg86_page_id=1	complete
